DNI         NOMBRE                  COD MEDICO     GASTO
51642949     Miranda/Alfonso         000000          0
61061535     Solis/Maria             000000          0
54815159     Patino/Delicia          000000          0
15290194     Hernandez/Guillermo     000000          0
35347567     Sedano/Elia             000000          0
52313890     Rivero/Wilver           000000          0
93282118     Zambrano/Ofelia         000000          0
43704548     Vizcardo/Maribel        000000          0
20371464     Lozada/Heli             000000          0
93939698     Henriquez/Silvana       000000          0
86988155     Cerna/Cinthia           000000          0
34697743     Ayala/Ericka            000000          0
32538825     Hijar/Martin            000000          0
22598563     Sueldo/Adria            000000          0
37282858     Soma/Lourdes            000000          0
95656771     Raffo/Rolando           000000          0
57182371     Moscoso/Fiorella        000000          0
93231760     Zarate/Alexander        000000          0
68269451     Asmad/Adria             000000          0
36471787     Pena/Glenda             000000          0
45914393     Lozada/Antonio          000000          0
53420926     Prado/Juan              000000          0
14956687     Luna/Waldemar           000000          0
81647285     Vega/Henrry             000000          0
31284904     Sakaguchi/Carlos        000000          0
13731806     Salamanca/Virginia      000000          0
62126128     Durand/Enrique          000000          0
93961840     Pairazaman/Tatiana      000000          0
35852072     Jauregui/Victor         000000          0
63640178     Rodriguez/Blanca        000000          0
35606314     Mercado/Elia            000000          0
54149342     Leyva/Diana             000000          0
65912822     Camacho/Ydali           000000          0
99891737     Contreras/Johana        000000          0
62287143     Wong/Beatriz            000000          0
68114999     Rios/Ines               000000          0
12484697     Diaz/Enrique            000000          0
51465986     Sam/Ines                000000          0
58643376     Arroyo/Natalia          000000          0
17299012     Suarez/Amaru            000000          0
71422479     Lozada/Felicita         000000          0
22679759     Bravo/Janet             000000          0
59561864     Rosemberg/Julio         000000          0
77324146     Moscoso/Janet           000000          0
80694546     Ramirez/Karina          000000          0
72973662     Vargas/Daniel           000000          0
27709566     Ortiz/Raul              000000          0
30246960     Escalante/Ines          000000          0
85395219     Fuentes/Patricia        000000          0
72330000     Vega/Carmela            000000          0
36934113     Serrano/Arturo          000000          0
45201670     Guevara/Milena          000000          0
66091742     Baca/Milagros           000000          0
77440060     Escalante/Emigdio       000000          0
81539774     Alfaro/Erick            000000          0
94683380     Farfan/Margot           000000          0
51873364     Calixto/Erick           000000          0
90367684     Sinche/Yvonne           000000          0
91187814     Narvaez/Jesus           000000          0
59596317     Justino/Virginia        000000          0
49357767     Solis/Rolando           000000          0
41964357     Arca/Magali             000000          0
75100362     Arca/Lucero             000000          0
66039166     Chavez/Johan            000000          0
92275859     Egusquiza/Doris         000000          0
34571095     Infantes/Luis           000000          0
28992638     Trigueros/Luz           000000          0
